marcellla03,0,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,
doralmond,1,0,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,
jackierunner,2,1,0,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,
erna.rendon,2,2,2,0,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,1,2,
azz.schur,1,2,2,2,0,1,2,2,2,1,1,1,2,1,2,1,1,2,1,1,1,
kendaklies33,2,1,2,2,1,0,2,2,1,2,1,1,1,2,1,2,1,1,1,1,2,
keir_jahns,1,1,1,1,2,2,0,1,1,2,1,1,2,1,2,2,2,2,1,2,1,
lolcallis,1,1,2,1,2,2,1,0,1,1,2,1,2,2,2,1,1,1,2,2,1,
suzann_dubay3,2,2,1,2,2,1,1,1,0,2,2,1,2,2,1,2,2,1,2,2,2,
ameliaa,2,2,2,2,1,2,2,1,2,0,2,2,1,2,2,2,1,1,2,2,2,
cindac,1,2,2,2,1,1,1,2,2,2,0,2,1,1,1,1,1,1,2,2,1,
kkcushenberry,1,2,2,1,1,1,1,1,1,2,2,0,1,1,1,1,1,,2,2,2,
kimgin,2,2,2,2,2,1,2,2,2,1,1,1,0,2,2,2,1,1,2,2,2,
cmoorefield4,1,2,2,1,1,2,1,2,2,2,1,1,2,0,1,1,1,1,1,2,1,
cherie_tump,2,1,2,1,2,1,2,2,1,2,1,1,2,1,0,2,1,2,2,1,2,
jodieledger,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2,0,2,1,2,1,1,
lakendra.shingle,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,0,1,1,2,2,
cassondraroque,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,0,2,2,1,
lindamood_sharan,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,0,1,1,
suzieselman,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,0,1,
llovering,1,2,1,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,1,0,
